Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Langsa,100,ID,1586370198,89,4.47,97.97,76.1,2.46
Namatanai,87,PG,1586369819,77,-3.67,152.43,82.24,8.34
Zhangaözen,0,KZ,1586369839,58,43.3,52.8,41.85,7.83
Necochea,0,AR,1586370198,63,-38.55,-58.74,66.0,8.01
Bonthe,48,SL,1586370199,69,7.53,-12.51,86.02,10.04
Lakes Entrance,47,AU,1586369923,91,-37.88,147.98,46.0,7.47
Tupik,6,RU,1586370199,87,54.43,119.93,18.34,1.79
Tyrma,5,RU,1586370199,89,50.08,132.17,28.47,1.25
Itaituba,40,BR,1586370200,63,-4.28,-55.98,91.4,6.93
Dryden,90,CA,1586370200,62,49.78,-92.75,32.0,18.34
Baykit,94,RU,1586370171,81,61.67,96.37,39.24,5.03
Santa Rosa,20,PH,1586370119,74,14.31,121.11,82.0,2.24
Urengoy,96,RU,1586370201,97,65.97,78.37,25.93,20.47
Olafsvik,13,IS,1586370201,86,64.89,-23.71,33.06,3.4
Vila Franca do Campo,20,PT,1586369624,82,37.72,-25.43,64.4,14.99
Fairbanks,1,US,1586370071,77,64.84,-147.72,19.99,1.1
Sompeta,33,IN,1586370202,58,18.93,84.6,81.55,8.93
Sassandra,64,CI,1586370162,77,4.95,-6.08,83.57,9.35
Port Townsend,1,US,1586370203,71,48.12,-122.76,55.99,7.9
Ponta do Sol,20,PT,1586369547,68,32.67,-17.1,71.6,4.7
Shubarkuduk,95,KZ,1586370138,71,49.14,56.49,36.43,9.86
Ayan,0,RU,1586370204,91,56.45,138.17,31.24,10.85
Dingle,41,PH,1586369852,80,11.0,122.67,77.4,8.88
Mossamedes,0,AO,1586370051,57,-15.2,12.15,74.75,15.05
Puerto Colombia,40,CO,1586370184,62,10.99,-74.95,89.6,18.34
Mahébourg,40,MU,1586369796,78,-20.41,57.7,80.6,10.29
Şırnak,6,TR,1586370205,55,37.52,42.46,47.52,0.56
Upernavik,1,GL,1586369795,88,72.79,-56.15,17.62,3.56
Ghanzi,2,BW,1586369844,23,-21.57,21.78,75.24,6.33
Fort Myers Beach,1,US,1586370182,43,26.45,-81.95,91.4,9.17
Lüderitz,0,NA,1586369855,82,-26.65,15.16,60.8,9.17
Moerai,100,PF,1586370206,81,-22.43,-151.33,79.83,11.48
Fort Nelson,75,CA,1586369857,38,58.81,-122.7,26.6,2.24
Lata,40,PT,1586369920,82,40.16,-8.33,64.4,5.82
Barranca,24,PE,1586370207,62,-10.75,-77.77,79.29,12.41
Berezanka,0,UA,1586370208,51,46.85,31.39,50.52,8.25
Gambiran,100,ID,1586370208,84,-6.8,111.5,76.77,4.18
Esim,1,GH,1586370002,77,4.87,-2.24,83.8,9.51
Tautira,75,PF,1586369917,69,-17.73,-149.15,84.0,5.82
Harper,30,LR,1586369797,74,4.38,-7.72,83.84,6.87
Ribeira Grande,40,PT,1586369850,77,38.52,-28.7,66.2,14.99
Kaitangata,99,NZ,1586369811,72,-46.28,169.85,48.0,3.0
Zeya,0,RU,1586370059,92,53.75,127.27,24.93,4.34
Aykhal,92,RU,1586370064,43,66.0,111.5,35.6,11.18
Codrington,1,AU,1586369813,86,-38.27,141.97,55.87,11.3
Naze,0,JP,1586369928,87,28.37,129.48,55.4,4.7
Bathsheba,40,BB,1586369891,62,13.22,-59.52,86.0,16.11
Inírida,95,CO,1586370210,79,3.87,-67.92,86.07,0.51
Kailua,90,US,1586369895,69,21.4,-157.74,75.2,3.36
Tomatlán,0,MX,1586369917,21,19.93,-105.25,92.14,7.43
Aripuanã,66,BR,1586370211,71,-9.17,-60.63,87.17,1.9
Castro,16,BR,1586369804,29,-24.79,-50.01,73.94,4.61
Bud,1,US,1586369933,56,39.45,-86.18,80.01,4.83
Rosario,0,AR,1586370036,37,-32.95,-60.64,73.99,3.36
Maner,40,IN,1586370212,56,25.65,84.88,73.4,3.85
São Félix do Xingu,87,BR,1586370212,53,-6.64,-51.99,90.63,0.2
Durango,90,MX,1586370212,15,24.83,-104.83,74.55,6.2
Matara,46,LK,1586370213,88,5.95,80.54,77.65,4.7
Lonār,0,IN,1586370213,14,19.98,76.53,84.49,10.0
Ambunti,98,PG,1586370213,96,-4.24,142.84,73.26,0.69
Kahului,1,US,1586369890,78,20.89,-156.47,75.99,4.7
Chokurdakh,47,RU,1586369870,90,70.63,147.92,-13.5,6.04
Daru,87,PG,1586370109,85,-9.08,143.21,79.18,7.49
Ouésso,98,CG,1586370214,87,1.61,16.05,72.46,1.72
Caravelas,24,BR,1586369865,77,-17.71,-39.25,82.18,10.56
Saldanha,66,ZA,1586369796,28,-33.01,17.94,68.0,11.41
Lorengau,72,PG,1586369926,79,-2.02,147.27,81.12,4.45
Laguna,1,US,1586370015,76,38.42,-121.42,64.0,3.47
Assiut,0,EG,1586369946,37,27.18,31.18,69.8,11.41
Barentu,63,ER,1586370215,23,15.11,37.59,86.23,6.55
Huarmey,31,PE,1586370055,53,-10.07,-78.15,83.35,11.45
Andros Town,40,BS,1586370216,69,24.7,-77.77,80.6,4.7
Palagiano,0,IT,1586370216,54,40.58,17.04,62.01,6.78
Sāveh,100,IR,1586370197,47,35.02,50.36,47.86,10.45
Chui,96,UY,1586369805,63,-33.7,-53.46,63.28,14.23
Mońki,26,PL,1586370217,39,53.41,22.8,54.0,35.01
Balaipungut,100,ID,1586370217,95,1.05,101.28,74.98,2.28
Taoudenni,0,ML,1586369855,9,22.68,-3.98,94.55,10.49
Teya,100,RU,1586370218,78,60.38,92.63,35.76,10.09
Port Hardy,75,CA,1586369814,75,50.7,-127.42,41.0,4.7
Zlobin,0,HR,1586370059,15,45.29,14.65,68.0,9.17
Lebu,0,CL,1586369808,52,-37.62,-73.65,65.55,5.23
Malakal,55,SS,1586370218,27,9.53,31.66,91.96,3.49
Stephenville,1,US,1586370048,29,32.22,-98.2,91.0,13.87
North Bend,1,US,1586369926,87,43.41,-124.22,59.0,9.17
Digby,51,CA,1586370219,44,44.62,-65.77,46.99,5.99
Aleksandrov Gay,13,RU,1586370220,55,50.15,48.57,45.95,15.21
Ibiá,40,BR,1586370220,54,-19.48,-46.54,82.4,8.05
Ancud,0,CL,1586369807,35,-41.87,-73.82,73.4,4.7
Camacupa,10,AO,1586370220,57,-12.02,17.48,66.42,3.0
Leningradskiy,100,RU,1586369893,90,69.38,178.42,0.28,6.55
Alta Floresta,75,BR,1586369970,63,-9.88,-56.09,91.4,3.36
Hammerfest,90,NO,1586369677,94,70.66,23.68,37.4,5.82
Cap Malheureux,40,MU,1586370221,78,-19.98,57.61,80.6,10.29
Mabaruma,96,GY,1586370222,59,8.2,-59.78,84.49,5.75
Mbale,39,UG,1586370222,41,1.08,34.17,72.93,3.13
Padang,100,ID,1586369806,75,-0.95,100.35,78.46,2.84
Kapit,3,MY,1586370222,94,2.02,112.93,73.56,0.47
Bowen,4,AU,1586369836,94,-20.02,148.23,72.0,6.93
Shimoda,0,JP,1586370164,54,34.67,138.95,59.0,3.0
Kurtamysh,99,RU,1586370223,91,54.91,64.43,25.79,12.12
Dogondoutchi,98,NE,1586370149,15,13.64,4.03,96.8,2.37
Aksu,11,CN,1586369969,19,41.12,80.26,61.23,3.06
Sisimiut,0,GL,1586370224,89,66.94,-53.67,26.1,4.54
Achacachi,37,BO,1586370224,18,-16.05,-68.68,53.89,6.58
Avera,90,US,1586369903,78,33.19,-82.53,82.0,9.17
Vila,100,PT,1586370225,82,42.03,-8.16,63.0,2.24
Lompoc,1,US,1586370025,76,34.64,-120.46,57.0,3.36
Barra do Bugres,27,BR,1586370225,55,-15.07,-57.18,88.45,4.27
Mae Sai,30,TH,1586370225,69,20.43,99.88,73.99,2.24
Saint-Philippe,9,RE,1586369893,83,-21.36,55.77,78.8,5.82
Maniitsoq,97,GL,1586369939,86,65.42,-52.9,27.59,6.11
Qian’an,81,CN,1586370227,75,44.99,124.06,35.76,8.03
Pisco,8,PE,1586369807,30,-13.7,-76.22,75.99,6.93
Puerto Madero,5,MX,1586370227,39,14.72,-92.42,96.8,11.41
Wenatchee,1,US,1586370228,34,47.42,-120.31,57.99,3.36
Half Moon Bay,90,US,1586369811,93,37.46,-122.43,62.01,3.36
Bengkulu,97,ID,1586369934,81,-3.8,102.27,78.04,3.69
Udachny,96,RU,1586369876,43,66.42,112.4,35.6,11.18
Dejen,37,ET,1586369855,19,10.17,38.13,67.24,3.2
Terrace Bay,90,CA,1586370229,100,48.78,-87.1,35.6,4.7
Oranjemund,18,NA,1586369943,53,-28.55,16.43,63.73,4.83
Amargosa,100,BR,1586370229,53,-13.03,-39.6,85.68,2.62
Kodinsk,11,RU,1586370230,84,58.69,99.18,36.16,4.74
Camalú,43,MX,1586370230,58,30.85,-116.07,55.99,14.0
Oneida,90,US,1586370230,81,43.2,-75.47,51.01,9.17
College,75,US,1586369935,52,64.86,-147.8,15.8,1.1
Narodychi,7,UA,1586370231,59,51.2,29.08,48.94,5.41
Capão da Canoa,6,BR,1586370231,48,-29.75,-50.01,68.52,14.09
Longyearbyen,20,SJ,1586369847,64,78.22,15.64,-4.0,6.93
Erode,64,IN,1586370231,55,11.35,77.73,84.52,2.39
Buchanan,75,LR,1586370140,70,5.88,-10.05,89.6,12.75
Lagoa,26,PT,1586370026,84,39.05,-27.98,61.72,11.56
Erzin,20,TR,1586370232,67,36.96,36.2,62.01,9.17
Hay River,20,CA,1586370233,72,60.82,-115.8,15.8,8.05
Jizan,0,SA,1586370132,70,17.33,42.67,86.0,8.05
Asunción Nochixtlán,33,MX,1586370233,18,17.47,-97.23,79.03,4.14
Galesong,20,ID,1586370089,94,-5.32,119.37,75.2,4.7
Hastings,19,GB,1586370125,76,50.86,0.57,68.0,14.99
Antigonish,75,CA,1586370193,40,45.62,-62.0,39.0,5.82
América Dourada,85,BR,1586370234,41,-11.46,-41.44,87.57,6.13
Henties Bay,19,NA,1586370100,91,-22.12,14.28,60.01,4.0
Barreirinha,100,BR,1586369924,94,-2.79,-57.07,75.74,1.9
Kupang,95,ID,1586370235,76,-10.17,123.58,81.0,8.68
Russell,90,US,1586369869,74,32.35,-85.2,82.4,4.7
Gopālpur,45,IN,1586370235,66,19.27,84.92,80.78,10.04
Rondonópolis,12,BR,1586370236,50,-16.47,-54.64,89.44,4.99
Oskarshamn,100,SE,1586370236,50,57.26,16.45,54.0,8.05
Pio XII,100,BR,1586370236,73,-3.83,-45.15,87.8,0.69
Taywarah,100,AF,1586370237,29,33.35,64.42,44.83,4.09
Srednekolymsk,100,RU,1586369907,91,67.45,153.68,1.24,13.76
Río Gallegos,9,AR,1586369850,33,-51.62,-69.22,75.2,9.17
Batemans Bay,73,AU,1586370238,96,-35.72,150.18,57.99,5.26
Kendari,100,ID,1586370238,90,-3.94,122.5,73.02,3.02
Plettenberg Bay,96,ZA,1586369860,78,-34.05,23.37,61.03,11.97
Deputatsky,12,RU,1586370137,85,69.3,139.9,-4.7,4.74
Prainha,100,BR,1586370239,77,-1.8,-53.48,84.92,1.72
Cockburn Town,6,TC,1586369802,69,21.46,-71.14,77.02,9.71
Westminster,40,US,1586370049,17,39.84,-105.04,68.0,9.17
Carballo,100,ES,1586370240,93,43.21,-8.69,63.0,3.36
Hanstholm,57,DK,1586370240,85,57.12,8.62,48.99,13.94
Prince Rupert,90,CA,1586369719,52,54.32,-130.32,42.8,8.05
Oistins,40,BB,1586370089,62,13.07,-59.53,86.0,16.11
St. George's,40,GD,1586369920,66,12.06,-61.75,86.0,21.92
Chukhloma,85,RU,1586370241,87,58.75,42.68,34.2,6.73
Meulaboh,94,ID,1586370171,83,4.14,96.13,79.45,3.94
Bendigo,19,AU,1586370242,55,-36.77,144.28,54.0,1.01
Navrongo,77,GH,1586370242,16,10.9,-1.09,103.24,5.44
Port-Gentil,98,GA,1586369650,85,-0.72,8.78,79.29,13.0
Mildura,77,AU,1586370243,87,-34.2,142.15,53.6,6.93
Gushikawa,40,JP,1586370085,87,26.35,127.87,66.2,4.7
Paysandu,0,UY,1586370243,43,-32.32,-58.08,70.0,4.0
Muros,20,ES,1586370094,77,42.78,-9.06,63.0,5.82
Acapulco de Juárez,40,MX,1586369923,48,16.86,-99.89,86.0,5.82
Khandyga,85,RU,1586370244,97,62.67,135.6,24.78,3.8
Kalmunai,66,LK,1586370165,75,7.42,81.82,81.46,6.76
Ulaangom,93,MN,1586370244,75,49.98,92.07,27.16,1.45
Yingkou,0,CN,1586370245,64,40.66,122.23,41.02,8.72
Magelang,97,ID,1586370245,75,-7.47,110.22,73.6,1.41
Kabare,100,CD,1586370245,58,-2.47,28.82,63.27,2.04
Broken Hill,1,AU,1586369909,71,-31.95,141.43,50.0,7.47
Vysokogornyy,1,RU,1586370246,87,50.12,139.15,17.51,1.01
Mazamari,100,PE,1586370247,54,-11.33,-74.53,79.43,2.13
Hobyo,50,SO,1586369849,60,5.35,48.53,83.79,14.09
Havøysund,75,NO,1586369899,96,71.0,24.66,35.6,13.87
Santa Barbara,75,US,1586370209,71,34.42,-119.7,57.2,5.82
São João da Barra,90,BR,1586370127,83,-21.64,-41.05,77.0,9.17
Nhulunbuy,40,AU,1586370249,88,-12.23,136.77,77.0,5.82
Yelan',61,RU,1586370249,60,50.95,43.74,48.43,8.61
Mungaoli,74,IN,1586370249,29,24.42,78.1,77.07,3.33
La Serena,90,CL,1586370250,77,-29.91,-71.25,64.4,6.93
Illela,81,NG,1586370037,12,13.73,5.3,96.28,3.51
Luanda,40,AO,1586370201,78,-8.84,13.23,82.4,16.11
Conakry,1,GN,1586370251,66,9.54,-13.68,87.8,9.17
Kaitong,54,CN,1586370173,74,44.81,123.15,35.74,7.87
Muroto-misakicho,12,JP,1586369946,55,33.28,134.15,53.91,7.85
Garhi Khairo,2,PK,1586370252,21,28.06,67.98,83.41,4.85
Sorong,3,ID,1586369938,87,-0.88,131.25,77.13,3.44
Stornoway,16,GB,1586369848,52,58.21,-6.39,46.99,5.82
Dali,82,CN,1586370253,35,25.7,100.18,49.86,3.33
Guadix,86,ES,1586370254,49,37.3,-3.14,69.8,14.99
Serchhīp,76,IN,1586370254,48,23.3,92.83,63.03,2.55
Along,67,IN,1586369943,53,28.17,94.77,65.41,4.88
Ostrovnoy,99,RU,1586370013,85,68.05,39.51,35.82,16.78
Chirongui,20,YT,1586370255,79,-12.93,45.15,84.2,11.41
Ouadda,72,CF,1586370256,41,8.08,22.4,79.81,2.04
Grand-Lahou,44,CI,1586370256,80,5.14,-5.02,83.89,11.32
Peace River,20,CA,1586370257,58,56.25,-117.29,26.6,6.93
Celestún,27,MX,1586370257,51,20.87,-90.4,86.76,6.42
Makakilo City,75,US,1586369904,83,21.35,-158.09,75.2,3.36
Nkhata Bay,94,MW,1586370258,64,-11.61,34.29,77.13,5.14
Tilichiki,0,RU,1586370019,90,60.47,166.1,1.11,4.94
Isangel,16,VU,1586369817,77,-19.55,169.27,76.69,17.29
Ugoofaaru,43,MV,1586370258,73,5.67,73.0,85.32,9.06
Vardø,75,NO,1586370058,96,70.37,31.11,37.4,5.82
Touros,40,BR,1586369791,66,-5.2,-35.46,87.8,11.41
Comodoro Rivadavia,0,AR,1586370079,26,-45.87,-67.5,80.6,10.29
La Libertad,24,EC,1586369822,74,-2.23,-80.9,82.4,10.29
Faya,0,SA,1586369821,46,18.39,42.45,71.6,8.05
São Gabriel da Cachoeira,75,BR,1586370260,79,-0.13,-67.09,84.2,3.36
Bosaso,70,SO,1586370260,64,11.28,49.18,83.61,3.62
Mitsamiouli,33,KM,1586370260,70,-11.38,43.28,84.2,9.22
Tshane,0,BW,1586370260,19,-24.02,21.87,74.79,6.44
Novikovo,56,RU,1586369854,69,51.15,37.89,46.78,9.28
Mount Gambier,8,AU,1586370115,100,-37.83,140.77,48.2,5.82
Rodolfo Sánchez Taboada,73,MX,1586369943,83,31.72,-116.57,55.99,5.01
La Ronge,75,CA,1586369799,62,55.1,-105.28,21.2,17.22
Øksfjord,75,NO,1586370106,93,70.24,22.35,37.4,11.41
Praia,0,CV,1586370262,39,14.92,-23.51,84.2,23.04
